name,submitted_name,homepage_url,jurisdiction_type,state_iso,municipality,county_fips,county_name,lat,lng,defunct_year,airtable_uid
Bentonville Police Department - AR,Bentonville Police Department,https://www.bentonvillear.com/342/Police-Department,local,AR,Bentonville,05007,['Benton'],36.35616,-94.20039,,recrhNz4vJ90CLihw
Wayne County Sheriff's Office - NC,Wayne County Sheriff's Office,,county,NC,Goldsboro,37191,['Wayne'],,,,recrhie5KYEILBxt5
Dunkirk Police Department - IN,Dunkirk Police Department,http://www.cityofdunkirk.com/government/departments/police_new/index.php,local,IN,Dunkirk,36013,['Chautauqua'],42.48346,-79.33402,,recrhl3XSWSQkQOqY
Owensville Police Department - OH,Owensville Police Department,https://villageofowensville.org/police-department/,local,OH,Owensville,39025,['Clermont'],39.122593,-84.13639,,recrhm4m3HjsiOSAy
Lassen County Sheriff's Office - CA,Lassen County Sheriff's Office,http://lassencounty.org/dept/sheriffs-office/sheriffs-office,county,CA,Susanville,06035,['Lassen'],40.425495,-120.6489,,recrhuSDZfXwx1yOi
Sandwich Police Department - IL,Sandwich Police Department,http://police.sandwich.il.us/,local,IL,Sandwich,17037,['DeKalb'],41.643543,-88.61706,,recriJuVAqXH2ZOn5
Ferdinand Police Department - IN,Ferdinand Police Department,,local,IN,Ferdinand,18037,['Dubois'],38.224617,-86.863464,,recriRhpAi8R2m6Oe
Ephrata Police Department - WA,Ephrata Police Department,http://ephrata.org/police-department-home-page_28.html,local,WA,Langley,53025,['Grant'],48.04021,-122.406746,,recriS4zTb2sPXDMs
West Milton Police Department - OH,West Milton Police Department,http://www.westmiltonohio.gov/index.php/public-safety/police-department,local,OH,West Milton,39109,['Miami'],39.95317,-84.32492,,recrjQHsDhNbiLatA
Town of Frankfort Police Department - NY,Town of Frankfort Police Department,https://www.facebook.com/frankfortpolice/,local,NY,Frankfort,36043,['Herkimer'],43.038906,-75.07268,,recrjTp72ShMyXuJ8
Indian Township Police Department - ME,Indian Township Police Department,http://indiantwppd.org/,local,ME,Princeton,23029,['Washington'],45.25059,-67.6021,,recrjpAZCFEKrFbAt
Sherman Police Department - TX,Sherman Police Department,https://ci.sherman.tx.us/police,local,TX,Sherman,48181,['Grayson'],33.63407,-96.60821,,recrkC0Et9DuIDvDX
Richmond County Marshal's Office - GA,Richmond County Marshal's Office,https://www.augustaga.gov/2768/Marshals-Office,county,GA,,13245,['Richmond'],33.47117,-81.96163,,recrkiOx2eV8XixMF
Darby Police Department - MT,Darby Police Department,https://darbyborough.com/,local,MT,Darby,30081,['Ravalli'],46.02064,-114.17778,,recrklBiyH0m7jEOH
Yorktown Police Department - IN,Yorktown Police Department,https://www.yorktownindiana.org/department/index.php?structureid=9,local,IN,Yorktown,18035,['Delaware'],40.172134,-85.48387,,recrkoKnXD8HzNz5t
Rockwall Police Department - TX,Rockwall Police Department,http://rockwallpolice.org/,local,TX,Rockwall,48397,['Rockwall'],32.930637,-96.46163,,recrks4mo4eOh3Jtg
Trident Technical College Police Department - SC,Trident Technical College Police Department,https://www.tridenttech.edu/about/departments/safety/index.htm,school,SC,,,,,,,recrlDhQG9UqKFbY8
Cumberland County Sheriff's Office - Fayetteville - NC,Cumberland County Sheriff's Office - Fayetteville,https://ccsonc.org/,county,NC,Fayetteville,37051,['Cumberland'],35.050644,-78.87713,,recrlYIGKHaQbtmkg
Goodman Police Department - MO,Goodman Police Department,,local,MO,Goodman,29119,['McDonald'],36.74133,-94.413,,recrlo8b7AYmnpeBJ
Fairfield Police Department - OH,Fairfield Police Department,https://www.fairfield-city.org/384/Police-Department,local,OH,Fairfield,39017,['Butler'],39.336456,-84.55829,,recrloo5mz58e53WS
Falkville Police Department - AL,Falkville Police Department,https://falkville.org/PoliceDepartment.aspx,local,AL,Falkville,01103,['Morgan'],34.36843,-86.90776,,recrlpm5Ol5fFWHBb
Carter County Detention Center - KY,Carter County Detention Center,http://www.cartercountydetention.com/CarterCoDC_inmatelist.html,county,KY,,,,,,,recrlsQzlsH1HjtO2
Richmond Police Department - MO,Richmond Police Department,https://cityofrichmondmo.org/index.php/departments/police-department,local,MO,Richmond,29177,['Ray'],39.27513,-93.978,,recrlsoFXZcjMgiVi
Putnam County District Attorney's Office - NY,Putnam County District Attorney's Office,https://www.putnamcountyny.com/district-attorneys-office/,county,NY,Carmel,36079,['Putnam'],41.426323,-73.67859,,recrlwOZejUpXPXMP
Campbellsburg Police Department - KY,Campbellsburg Police Department,,local,KY,Campbellsburg,21103,['Henry'],,,,recrm0fdZj5L6RCGk
Upper Sioux Community Tribal Police Department - MN,Upper Sioux Community Tribal Police Department,,local,MN,Granite Falls,27173,['Yellow Medicine'],,,,recrmXbIRSzzeVC6F
Blue Island Police Department - IL,Blue Island Police Department,http://www.blueisland.org/government/city-departments/police-department/,local,IL,Blue Island,17031,['Cook'],41.656017,-87.68233,,recrmhzIsMKU9DUF1
University of Texas at Austin Police Department - TX,University of Texas at Austin Police Department,https://police.utexas.edu/,school,TX,Austin,48453,['Travis'],30.284067,-97.730415,,recrmlMMyj2UzpOV1
Iowa State Patrol Motor Vehicle Enforcement Agency - IA,Iowa State Patrol Motor Vehicle Enforcement Agency,https://iowadot.gov/mve,state,IA,,,,,,,recrnE4gz6TjRw9b7
Calhoun Police Department - KY,Calhoun Police Department,,local,KY,Calhoun,21149,['McLean'],,,,recrnSsuXfSl1d79W
Butte County Sheriff's Department - CA,Butte County Sheriff's Department,https://www.buttecounty.net/sheriffcoroner/,county,CA,Magalia,06007,['Butte'],39.819702,-121.59255,,recrnVN6JQfB6VUuT
Pilot Grove Police Department - MO,Pilot Grove Police Department,,local,MO,Pilot Grove,29053,['Cooper'],,,,recrngGjIZv3atZGK
Steuben County District Attorney's Office - NY,Steuben County District Attorney's Office,https://www.steubencony.org/pages.asp?pgid=69,county,NY,Bath,36101,['Steuben'],42.333,-77.316734,,recro4xFrhWZm7H71
Browntown Police Department - WI,Browntown Police Department,,local,WI,Browntown,55045,['Green'],42.57743,-89.79421,,recro63xsEytc1b20
Michigan Senate Police Department - MI,Michigan Senate Police Department,,local,MI,Lansing,26065,['Ingham'],,,,recroJRBS9gfj7SDE
Cocoa Beach Police Department - FL,Cocoa Beach Police Department,https://www.cityofcocoabeach.com/165/Police,local,FL,Cocoa Beach,12009,['Brevard'],28.317911,-80.61033,,recroLzGEvHV0ttVu
Sutton Police Department - MA,Sutton Police Department,https://www.suttonma.org/police-department,local,MA,Sutton,25027,['Worcester'],42.14956,-71.76262,,recroO5c8Ni8uuXpS
Clark County Sheriff's Office - OH,Clark County Sheriff's Office,http://www.clarkcountysheriff.com/,county,OH,Springfield,39023,['Clark'],39.926445,-83.809845,,recroRYRSmn5iR9l2
Brunswick Police Department - MO,Brunswick Police Department,http://brunswickmo.com/residents/city-of-brunswick/,local,MO,Brunswick,29041,['Chariton'],39.423607,-93.13108,,recroTg2nN6j9QGWY
Pendleton Police Department - OR,Pendleton Police Department,https://www.facebook.com/Pendleton-Police-Department-1064945400243207/,local,OR,Pendleton,18095,['Madison'],40.008846,-85.74291,,recrouYAljxKR1uZt
Mountain Lake Police Department - MN,Mountain Lake Police Department,https://www.mountainlakemn.com/city-mountain-lake/departments/police/,local,MN,Mountain Lake,27033,['Cottonwood'],43.938515,-94.93071,,recrozSraCXgNbNkk
Corinth Police Department - TX,Corinth Police Department,https://www.cityofcorinth.com/police,local,TX,Denton,48121,['Denton'],33.147587,-97.06117,,recrp3FtiajomKHk9
Middletown Township Police Department - PA,Middletown Township Police Department,,local,PA,Langhorne,42017,['Bucks'],40.18264,-74.90658,,recrp7Pc2lk9UZ8th
Leon County Sheriff's Office - TX,Leon County Sheriff's Office,https://www.co.leon.tx.us/page/leon.Sheriff,county,TX,Centerville,48289,['Leon'],31.258436,-95.97432,,recrp8s6GPQHys8N5
Lebanon Division of Police - OH,Lebanon Division of Police,https://lebanonohio.gov/departments/police/index.php,local,OH,Lebanon,39165,['Warren'],39.435284,-84.2093,,recrpHWIRcByyWzeI
United States Naval District of Washington Police - Naval Support Facility - Indian Head - MD,United States Naval District of Washington Police - Naval Support Facility - Indian Head,https://www.navfac.navy.mil/products_and_services/ev/products_and_services/env_restoration/installation_map/navfac_atlantic/washington/nsf_indian_head.html,state,MD,,,,,,,recrpZIneFoTQdgf3
Glenrock Police Department - WY,Glenrock Police Department,glenrock.org/index.asp?sec=ca3b0d63-413f-467c-a9bb-09b4afc462b4&type=b_basic,local,WY,Glenrock,56009,['Converse'],42.860603,-105.871284,,recrpekPuQDaN4iTV
New Jersey Aggregated - NJ,New Jersey Aggregated,,state,NJ,,,,,,,recrpnKIxZ5TKqtfB
Arkansas State Hospital Department of Public Safety - AR,Arkansas State Hospital Department of Public Safety,,state,AR,Little Rock,05119,['Pulaski'],,,,recrpoPNhN9ZPJecq
Franklin County Sheriff's Office - NC,Franklin County Sheriff's Office,,county,NC,Louisburg,37069,['Franklin'],36.09452,-78.31964,,recrponKBKWtvv07s
Paint Borough Police Department - PA,Paint Borough Police Department,,local,PA,Windber,42111,['Somerset'],,,,recrppGtowHDw5afY
Powhatan County Sheriff's Office - VA,Powhatan County Sheriff's Office,http://www.powhatanva.gov/312/Sheriff,county,VA,Powhatan,51145,['Powhatan'],37.541615,-77.9183,,recrpzSOkBkZ4tY7z
Renovo Police Department - PA,Renovo Police Department,https://www.facebook.com/renovopd/,local,PA,Renovo,42035,['Clinton'],41.32647,-77.75505,,recrqX9FvjKnD1Ikf
Lafayette County Sheriff's Office - FL,Lafayette County Sheriff's Office,http://www.lafayetteso.org/,county,FL,Mayo,12067,['Lafayette'],30.054928,-83.176346,,recrqZwm7p7d7Ua75
Clemson Police Department - SC,Clemson Police Department,https://www.clemsonpd.org/,local,SC,Clemson,45077,['Pickens'],34.69004,-82.83032,,recrqlUdtWcIP0e3b
Richmond Heights Police Department - OH,Richmond Heights Police Department,,local,OH,Richmond Heights,39035,['Cuyahoga'],,,,recrqmK3nhd2ZXNhg
Sturgis Police Department - SD,Sturgis Police Department,https://www.sturgis-sd.gov/sturgis-police-department,local,SD,Sturgis,46093,['Meade'],44.414246,-103.51602,,recrqyC9G0aZtb5Mu
CUNY College of Staten Island Police - NY,CUNY College of Staten Island Police,,school,NY,Staten Island,36085,['Richmond'],,,,recrr3oNF0ItPbZ1O
Maryland Transportation Authority Police - MD,Maryland Transportation Authority Police,http://mdta.maryland.gov/Police/Police_Main.html,local,MD,Annapolis,24003,['Anne Arundel'],39.01334,-76.40916,,recrrB8E5h7w006XC
Wenham Police Department - MA,Wenham Police Department,,local,MA,Wenham,25009,['Essex'],,,,recrrYM8hgfo32Vpv
Hermantown Police Department - MN,Hermantown Police Department,https://www.facebook.com/HermantownPD/,local,MN,Duluth,27137,['St. Louis'],46.809032,-92.21984,,recrs19AMr90mGiUf
Saint Albans Police Department - WV,Saint Albans Police Department,http://www.saintalbanspolice.com/,local,WV,Saint Albans,54039,['Kanawha'],38.38693,-81.83821,,recrsP3nw0iJvzgnm
El Paso Police Department - Mission Valley Regional Command Center - TX,El Paso Police Department - Mission Valley Regional Command Center,https://www.elpasotexas.gov/police-department/regional-commands/mission-valley,local,TX,El Paso,48141,['El Paso'],31.71415,-106.30841,,recrscsHBp6WNnAEC
Towns County Sheriff's Office - GA,Towns County Sheriff's Office,http://www.townscountyga.org/sheriff.html,county,GA,Young Harris,13281,['Towns'],34.98411,-83.82885,,recrsk0StDuoosUkN
Cook County Sheriff's Office - IL,Cook County Sheriff's Office,https://www.cookcountysheriff.org/,county,IL,Chicago,17031,['Cook'],41.8829,-87.629875,,recrskYdKS7iVVQ6z
Alexandria Police Department - TN,Alexandria Police Department,,local,TN,Alexandria,47041,['DeKalb'],,,,recrsp9hP603Hpk3P
St. Martin Parish Sheriff's Office - LA,St. Martin Parish Sheriff's Office,https://stmartinsheriff.org/,local,LA,Saint Martinville,22099,['St. Martin'],30.135113,-91.8643,,recrssPetI4Tqu5aF
Seattle University Department of Public Safety - WA,Seattle University Department of Public Safety,https://www.seattleu.edu/safety/,school,WA,Arlington,,,48.204422,-122.215004,,recrssSXIrxtO2KEn
California Superior Court (Amador) - CA,California Superior Court (Amador),http://www.amadorcourt.org/,state,CA,Jackson,,,,,,recrtHBffuVd0F4LT
Atlanta Police Department Zone 6 - GA,Atlanta Police Department Zone 6,https://www.atlantapd.org/community/apd-zones/zone-4-541,local,GA,Atlanta,13089,['DeKalb'],33.75079,-84.32135,,recrtKAExQ1I6ipUd
Andrews Police Department - IN,Andrews Police Department,https://www.bpr.org/post/entire-andrews-police-force-suspended-placed-paid-leave,local,IN,Andrews,,,,,,recrtPuQao1Yl5VbG
Queens University of Charlotte Police - Charlotte - NC,Queens University of Charlotte Police - Charlotte,https://www.queens.edu/life-at-queens/student-support/campus-safety/,school,NC,Charlotte,,,,,,recrtXSPCZLYxRQeX
Franklin Police Department - WI,Franklin Police Department,https://www.franklinwi.gov/Departments/Police.htm,local,WI,Franklin,55079,['Milwaukee'],42.89536,-88.03077,,recrtnyGP7j3izRN1
Marked Tree Police Department - AR,Marked Tree Police Department,https://www.facebook.com/markedtreepd/,local,AR,Marked Tree,05111,['Poinsett'],35.531834,-90.42287,,recru5RiGdjAYrMTl
Humboldt County School District Police Department - NV,Humboldt County School District Police Department,,school,NV,Winnemucca,32013,['Humboldt'],,,,recru6UqF6REUrACw
Winchendon Police Department - MA,Winchendon Police Department,https://www.facebook.com/Winchendonpolicedepartment/,local,MA,Winchendon,25027,['Worcester'],42.682636,-72.0477,,recru7W4zdmeqbqfM
La Porte City Police Department - IA,La Porte City Police Department,https://www.facebook.com/laportecitypd,local,IA,La Porte City,19013,['Black Hawk'],42.31527,-92.19213,,recruAKzVnCvtu0Aw
Rio Dell Police Department - CA,Rio Dell Police Department,http://cityofriodell.ca.gov/police,local,CA,Rio Dell,06023,['Humboldt'],40.498905,-124.10668,,recruBHeQnxwRgy4v
West Columbia Police Department - TX,West Columbia Police Department,https://westcolumbiasc.gov/police-department/,local,TX,West Columbia,48039,['Brazoria'],29.142641,-95.645645,,recruHaSt19Vwkrnq
Suffolk Sheriff's Office - VA,Suffolk Sheriff's Office,http://www.suffolkva.us/538/Sheriff,local,VA,Suffolk,,,36.729115,-76.58228,,recruRdAKvRZeJofD
Elizabeth Police Department - PA,Elizabeth Police Department,https://www.facebook.com/ElizabethTownshipPoliceDepartment,local,PA,Elizabeth,42003,['Allegheny'],40.273403,-79.886406,,recrutVt5xU7Xjx30
Miles College Police Department - AL,Miles College Police Department,https://www.miles.edu/administrative-units/6/campus-security-and-police,school,AL,,,,,,,recruy8sG3YyVaPCu
Highlandville Police Department - MO,Highlandville Police Department,,local,MO,Highlandville,29043,['Christian'],,,,recrvLVHR0qVUpzU9
Essex County Sheriff's Office - NY,Essex County Sheriff's Office,https://nyconnects.ny.gov/services/essex-county-sheriffs-department-sofa15509,county,NY,Lewis,36031,['Essex'],44.28263,-73.53655,,recrvRsBTxFRxmCcR
Salem County Sheriff's Office - NJ,Salem County Sheriff's Office,https://www.salemcountysheriff.com/,county,NJ,,34033,['Salem'],39.57288,-75.46612,,recrvktbvGXWk5DXZ
Tyler Police Department - MN,Tyler Police Department,https://www.cityoftyler.org/government/departments/police-department,local,MN,Tyler,27081,['Lincoln'],44.276264,-96.13524,,recrvy3Vu4It5Petr
Modesto Police Department Northeast Area - CA,Modesto Police Department Northeast Area,https://www.modestogov.com/223/Police-Department,local,CA,Modesto,06099,['Stanislaus'],37.69153,-120.95847,,recrw3oH3lNSKfrJD
Dumas Police Department - AR,Dumas Police Department,https://www.dumastx.gov/government/departments/police/index.php,local,AR,Dumas,05041,['Desha'],33.887627,-91.49087,,recrw7a00RTwYnsJl
Omaha Airport Authority Police - NE,Omaha Airport Authority Police,,local,NE,Omaha,31055,['Douglas'],,,,recrwJGwLgvcEkryK
Lyman Police Department - NE,Lyman Police Department,https://www.lymansc.gov/departments/police_department/index.php,local,NE,Lyman,31157,['Scotts Bluff'],41.91719,-104.03912,,recrwK2jnoqWbqNBt
Snowline Joint Unified School District Security - CA,Snowline Joint Unified School District Security,,school,CA,Phelan,06071,['San Bernardino'],,,,recrwc9LmpJCBlVwn
Boston Housing Authority - MA,Boston Housing Authority,,local,MA,Jamaica Plain,25025,['Suffolk'],,,,recrwm5m0k1DWTOvT
Horseshoe Bay Police Department - TX,Horseshoe Bay Police Department,,local,TX,Horseshoe Bay,48299,['Llano'],30.54341,-98.36499,,recrwm9dTMpnhXHPs
Notre Dame College Police - Notre Dame College - OH,Notre Dame College Police - Notre Dame College,https://www.notredamecollege.edu/resources-and-services/campus-safety-and-security/,school,OH,,,,,,,recrwmFQRf1Cc8Tmj
Bronx County District Attorney's Office - NY,Bronx County District Attorney's Office,https://www.bronxda.nyc.gov/,county,NY,Bronx,36005,['Bronx'],40.825855,-73.92109,,recrx0yIzYqd5S4rN
Ludlow Police Department - MA,Ludlow Police Department,,local,MA,Ludlow,25013,['Hampden'],42.17558,-72.47232,,recrx4x2uHWMeCv02
Evansville Fire Department - IN,Evansville Fire Department,https://www.facebook.com/EvansvilleFireDepartment,local,IN,Evansville,18163,['Vanderburgh'],37.96734,-87.5621,,recrxErnQTUomRBHp
Shoalwater Bay Tribal Police - WA,Shoalwater Bay Tribal Police,https://shoalwaterbay-nsn.gov/home/shoalwater-services/police/,tribal,WA,Cheney,,,47.48663,-117.57793,,recrxbJsnRIwLQks6
University of Arkansas at Morrilton Police Department - AR,University of Arkansas at Morrilton Police Department,http://uapd.uark.edu/,school,AR,Fayetteville,,,,,,recrxeeqwZ9N4UWqc
Abbeville Police Department - Chief - LA,Abbeville Police Department - Chief,https://www.abbevillepd.com/,local,LA,Abbeville,22113,['Vermilion'],29.97422,-92.1357,,recrxosnEFRsWjPu0
Dupo Police Department - IL,Dupo Police Department,http://www.villageofdupo.org/police-department,local,IL,Dupo,17163,['St. Clair'],38.519096,-90.20925,,recry9cEoBCLDyfJl
Mitchell County Sheriff's Office - GA,Mitchell County Sheriff's Office,http://www.mitchellso.com/,county,GA,Camilla,13205,['Mitchell'],31.23076,-84.17901,,recryMkSepsjk8hra
Victoria Police Department - TX,Victoria Police Department,https://www.victoriatx.org/160/Police-Department,local,TX,Victoria,48469,['Victoria'],28.797298,-97.00771,,recryNgCJxvihVKlR
Crab Orchard Police Department - KY,Crab Orchard Police Department,,local,KY,Crab Orchard,21137,['Lincoln'],,,,recryW0itRAtghuGD
Horseshoe Bend Police Department - ID,Horseshoe Bend Police Department,,local,ID,Horseshoe Bend,16015,['Boise'],-116.19788,,,recryc4uoOO3hjZuV
Southwest Harbor Police Department - ME,Southwest Harbor Police Department,http://swhpolice.com/,local,ME,Southwest Harbor,23009,['Hancock'],44.27966,-68.32715,,recrydEGNmPKkFKp7
Stanislaus County Sheriff's Office Denair - CA,Stanislaus County Sheriff's Office Denair,https://goldrushcam.com/sierrasuntimes/index.php/news/california/30119-stanislaus-county-sheriff-s-office-reports-three-die-in-denair-california-house-fire,county,CA,Denair,06099,['Stanislaus'],37.52462,-120.79899,,recryic9wRLK80hhi
Sunset Police Department - AR,Sunset Police Department,http://marionpolice.us/,local,AR,Marion,05035,['Crittenden'],35.22234,-90.20499,,recrz32LRJ2RcUNHD
Dover Police Department - TN,Dover Police Department,,local,TN,Dover,47161,['Stewart'],,,,recrz7LuXvJTpDnl2
Wolfeboro Police Department - NH,Wolfeboro Police Department,,local,NH,Wolfeboro,33003,['Carroll'],,,,recrz8Ol9J18QHOIk
Glens Falls Police Department - NY,Glens Falls Police Department,https://www.glensfallspd.com/,local,NY,Glens Falls,36113,['Warren'],43.310783,-73.644485,,recrzFMMcYfJwVfg9
Rancho Viejo Police Department - TX,Rancho Viejo Police Department,https://www.ranchoviejotexas.com/municipal-departments/police-department,local,TX,Olmito,48061,['Cameron'],26.04506,-97.55259,,recrzHD4D500JkRko
Duplin County Sheriff's Office - Kenansville - NC,Duplin County Sheriff's Office - Kenansville,https://www.duplinsheriff.com/,county,NC,,37061,['Duplin'],34.963684,-77.96159,,recrzTTwT2kjEljY1
Middletown Division of Police - OH,Middletown Division of Police,https://www.cityofmiddletown.org/301/Police,local,OH,Middletown,39017,['Butler'],39.5192,-84.40124,,recrzYRsdy1m9jEj5
Eldon Police Department - IA,Eldon Police Department,,local,IA,Eldon,19179,['Wapello'],,,,recrzdp1FyIndHasZ
Roscommon County Sheriff's Office - MI,Roscommon County Sheriff's Office,http://www.roscommoncounty.net/199/Sheriff,county,MI,Roscommon,26143,['Roscommon'],44.49626,-84.59399,,recrzivoMJszv5RIa
Calumet Police Department - MI,Calumet Police Department,http://www.villageofcalumet.com/police-department.html,local,MI,Calumet,26061,['Houghton'],47.247948,-88.45341,,recrzpWUpbvkzy6ya
Russell Police Department - MA,Russell Police Department,http://www.townofrussell.us/police.html,local,MA,Russell,25013,['Hampden'],42.189972,-72.85661,,recrzysr7MfhaILeX
Robins Police Department - IA,Robins Police Department,,local,IA,Robins,19113,['Linn'],,,,recs0ERRLlMjZLDSt
Lyons Police Department - NE,Lyons Police Department,https://lyonscity.nebraska.gov/police,local,NE,Lyons,31021,['Burt'],41.937965,-96.47752,,recs0bZ7WGCjnFnZd
San Joaquin Delta College - CA,San Joaquin Delta College,,school,CA,Stockton,06077,['San Joaquin'],,,,recs0pokaFmo5fWlt
Bear Creek Township/Bear Creek Village Police Department - PA,Bear Creek Township/Bear Creek Village Police Department,https://bearcreektownship.org/,local,PA,,,,,,,recs0ypO8FdekLRB7
Valley View Police Department - OH,Valley View Police Department,,local,OH,Cleveland,39035,['Cuyahoga'],,,,recs1Fc7YjUdEylZE
Isle Police Department - MN,Isle Police Department,https://www.cityofisle.com/government/city-departments/,local,MN,Isle,27095,['Mille Lacs'],46.13739,-93.4691,,recs1N8OYXeVob3Ey
Wingate University Campus Safety - Wingate - NC,Wingate University Campus Safety - Wingate,https://www.wingate.edu/campus-safety,school,NC,,,,,,,recs1PAMCqlh1wGJt
Seneca County Sheriff's Office - OH,Seneca County Sheriff's Office,https://senecacountyso.org/sso,county,OH,Tiffin,39147,['Seneca'],41.07945,-83.15368,,recs1bGCZ2xs0zi9O
Lunenburg County Sheriff Office - VA,Lunenburg County Sheriff Office,,county,VA,Lunenburg,51111,['Lunenburg'],,,,recs1clP2qEUCf1Wh
Niceville Police Department - FL,Niceville Police Department,https://www.co.holmes.oh.us/adult-probation-overview,county,FL,Niceville,12091,['Okaloosa'],30.52436,-86.47506,,recs1le88mrULT19L
Tippah County Sheriff's Office - MS,Tippah County Sheriff's Office,http://www.co.tippah.ms.us/sheriff,county,MS,Ripley,28139,['Tippah'],34.7308,-88.95015,,recs1rhw9devBPnlj
Livingston Police Department. - LA,Livingston Police Department.,,local,LA,Livingston,22063,['Livingston'],,,,recs1tELBpMdGHOGB
Braggs Police Department - OK,Braggs Police Department,,local,OK,Braggs,40101,['Muskogee'],,,,recs1w0llMnpEBJaJ
Eureka Police Department - IL,Eureka Police Department,https://www.facebook.com/eurekailpolicedepartment/,local,IL,Eureka,17203,['Woodford'],40.722782,-89.273155,,recs2999J9vZvGiBi
Winona Lake Police Department - IN,Winona Lake Police Department,https://www.facebook.com/winonalakepolice/,local,IN,Winona Lake,18085,['Kosciusko'],41.223633,-85.82202,,recs2FVE9KyLKFgKI
Indiana Office of Inspector General - IN,Indiana Office of Inspector General,https://www.in.gov/ig/,local,IN,,,,,,,recs2jEP13gyHn6zF
Knox County Sheriff's Office - ME,Knox County Sheriff's Office,https://www.knoxcountymaine.gov/?SEC=630F1445-DDCB-4676-A0DC-1A162458E17B,county,ME,Corbin,21121,['Knox'],36.953102,-84.06417,,recs2jYs4D2mifdhG
University of Nebraska Medical Center Campus Police - NE,University of Nebraska Medical Center Campus Police,https://www.unmc.edu/aboutus/security/index.html,school,NE,,,,,,,recs2ps5Q1A55W9i5
Bourbonnais Police Department - IL,Bourbonnais Police Department,https://www.facebook.com/BourbonnaisPolice/,local,IL,Bourbonnais,17091,['Kankakee'],41.159027,-87.88807,,recs2u6hmG1fRRQ2N
Saint George Police Department - KS,Saint George Police Department,https://stgeorge.govbuilt.com/police-department,local,KS,Saint George,20149,['Pottawatomie'],39.19078,-96.42186,,recs32Sk9JOCHa0y3
San Joaquin County Sheriff's Department - CA,San Joaquin County Sheriff's Department,http://www.sjsheriff.org/,county,CA,French Camp,06077,['San Joaquin'],37.88548,-121.29634,,recs3GqxOubIyduey
Newark Police Department - AR,Newark Police Department,https://npd.newarkpublicsafety.org/,local,AR,Sherwood,05119,['Pulaski'],34.832355,-92.20816,,recs3fRFNYLDpisnb
Winthrop Police Department - MA,Winthrop Police Department,http://www.town.winthrop.ma.us/pages/winthropma_police/index,local,MA,Winthrop,25025,['Suffolk'],42.37677,-70.98449,,recs4227sBJrNe3Jr
Chino Valley Police Department - AZ,Chino Valley Police Department,http://www.chinoaz.net/149/Police-Department,local,AZ,Chino Valley,04025,['Yavapai'],34.77367,-112.46672,,recs4BYI7vnwMxTge
Lac Vieux Desert Tribal Police Department - MI,Lac Vieux Desert Tribal Police Department,,local,MI,Watersmeet,26053,['Gogebic'],46.27734,-89.17735,,recs4Eaf4dkJyE99F
Georgia Department of Transportation - Office of Investigations - GA,Georgia Department of Transportation - Office of Investigations,,local,GA,Atlanta,13121,['Fulton'],,,,recs4QXhpbZgc5wxM
Alabama Marine Police - AL,Alabama Marine Police,http://www.lakeguntersville.info/Pages/Alabama-Marine-Police-District-I/,local,AL,Orange Beach,01003,['Baldwin'],30.278349,-87.554955,,recs4TBWMtGYh5QM5
Butler Police Department - WI,Butler Police Department,,local,WI,Butler,55133,['Waukesha'],,,,recs4UIgICSixBwNr
Charleston Police Department - TN,Charleston Police Department,,local,TN,Charleston,47011,['Bradley'],35.28273,-84.75971,,recs5FRKD1w6YhPbv
Vanderbilt University Police Department - TN,Vanderbilt University Police Department,http://police.vanderbilt.edu/,school,TN,Nashville,47037,['Davidson'],36.14449,-86.8116,,recs5cJS7WvMgR96s
Rochester Police Department - MI,Rochester Police Department,http://rochestermi.org/176/Police-Department,local,MI,Rochester,26125,['Oakland'],42.68327,-83.137245,,recs5gJYSOQUYg6Ba
England Police Department - AR,England Police Department,http://www.cityofengland.org/police.html,local,AR,England,05085,['Lonoke'],34.544724,-91.9716,,recs5pxACP6KTgbhG
Adams County Sheriff's Office - ID,Adams County Sheriff's Office,https://co.adams.id.us/departments/sheriff/,county,ID,Friendship,55001,['Adams'],43.971176,-89.81563,,recs61FhEqLV72Nvo
Reardan Police Department - WA,Reardan Police Department,https://www.facebook.com/ReardanPolice,local,WA,Stevenson,53043,['Lincoln'],45.694447,-121.88361,,recs63uFFkZKZeWpp
Huachuca City Police Department - AZ,Huachuca City Police Department,https://huachucacityaz.gov/town-departments/police-department/,local,AZ,Huachuca City,04003,['Cochise'],31.631721,-110.33493,,recs70CIqMDlTxwlS
Westmoreland County Detectives Bureau - PA,Westmoreland County Detectives Bureau,,county,PA,Greensburg,42129,['Westmoreland'],,,,recs7EZUhhF1VwIVi
Benton Police Department - TN,Benton Police Department,https://www.facebook.com/BentonPoliceTN,local,TN,Benton,47139,['Polk'],35.17996,-84.64531,,recs7Haq4HtKeD8P0
Canton Police Department - MO,Canton Police Department,,local,MO,Canton,29111,['Lewis'],40.13077,-91.5198,,recs7J6VVAO7XLKVI
Rawlins County Sheriff's Office - KS,Rawlins County Sheriff's Office,http://rawlinscountysheriff.org/,county,KS,Atwood,20153,['Rawlins'],39.808147,-101.03976,,recs7LZ8HqdvduQeg
Osceola Police Department - IN,Osceola Police Department,http://www.osceola.in.gov/police,local,IN,Osceola,18141,['St. Joseph'],41.663433,-86.08009,,recs7VxdXB35EmXI5
