name,submitted_name,homepage_url,jurisdiction_type,state_iso,municipality,county_fips,county_name,lat,lng,defunct_year,airtable_uid
Office of Criminal Investigations - DC,Office of Criminal Investigations,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/criminal-investigations,local,DC,,,,,,,rec9BtuXxP6Qq4xBk
Troy Township Water Patrol - WI,Troy Township Water Patrol,,local,WI,East Troy,55127,['Walworth'],,,,rec9BxPyf70KtwBFa
Ennis Police Department - MT,Ennis Police Department,https://www.ennismontana.org/departments/police-department/,local,MT,Ennis,30057,['Madison'],45.34939,-111.7351,,rec9ByL2MhsOLnlBQ
Maryland Transit Administration Police - MD,Maryland Transit Administration Police,https://www.mta.maryland.gov/police,local,MD,Laurel,24033,"[""Prince George's""]",39.068626,-76.883995,,rec9C2wsQMI1KYajz
Frankfort Police Department - MI,Frankfort Police Department,https://www.facebook.com/FrankfortMIPD/,local,MI,Frankfort,26019,['Benzie'],44.63213,-86.231,,rec9C7teAbfznpXg5
Thirteenth Judicial Circuit Court - FL,Thirteenth Judicial Circuit Court,https://www.fljud13.org/,county,FL,,12057,['Hillsborough'],,,,rec9CAoZIbRs6SAlZ
Elkton Police Department - MD,Elkton Police Department,https://www.elkton.org/police-department,local,MD,Elkton,24015,['Cecil'],39.610584,-75.83115,,rec9CCOJjLwv38f6Y
Lisbon Police Department - LA,Lisbon Police Department,http://lisbonpd.com/,local,LA,,,,,,,rec9CZjCqnoBD9Ub4
Cambridge City Police Department - IN,Cambridge City Police Department,https://www.facebook.com/CCPDIN/,local,IN,Cambridge City,18177,['Wayne'],39.814205,-85.17205,,rec9Ca37aAAYk83U6
Pleasant Prairie Police Department - WI,Pleasant Prairie Police Department,https://pleasantprairiewi.gov/departments/police,local,WI,Pleasant Prairie,55059,['Kenosha'],42.550385,-87.89289,,rec9ChthdEUetPN4k
Morgan County Sheriff's Office - UT,Morgan County Sheriff's Office,https://www.facebook.com/MorganCountySheriff,county,UT,Morgan,49029,['Morgan'],41.036163,-111.67851,,rec9D5FV5DexyAbpj
Sisseton Police Department - SD,Sisseton Police Department,https://www.sisseton.com/city-of-sisseton/public-safety,local,SD,Sisseton,46109,['Roberts'],45.566505,-97.07081,,rec9D6oWqpCaQ1lg9
Winthrop Harbor Police Department - IL,Winthrop Harbor Police Department,http://whpd.org/,local,IL,Winthrop Harbor,17097,['Lake'],42.479534,-87.82393,,rec9DBmdn3RCnqwct
Clawson Police Department - MI,Clawson Police Department,https://www.cityofclawson.com/your_government/police_department/index.php,local,MI,Clawson,26125,['Oakland'],42.536655,-83.14681,,rec9DU93wdrKrvf4b
Penns Grove Police Department - PA,Penns Grove Police Department,https://www.pennsgrovepd.org/,local,PA,Penns Grove,34033,['Salem'],39.730213,-75.4696,,rec9DZNSUWhk84NE7
